"epidermal","mesophyll group 1","mesophyll group 2","mesophyll group 3","bundle sheath","vascular","companion","sieve","myrosinase"
"AT3G18295",0,0,-3,0,0,0,0,0,0
"AT3G18300",0,0,-3,0,0,0,0,0,0
"AT3G19010",0,0,-3,0,0,0,0,0,0
"AT3G19240",0,0,-3,0,0,0,0,0,0
"AT3G19580",0,0,-3,0,0,0,0,0,0
"AT3G21070",0,0,3,0,0,0,0,0,0
"AT3G21330",0,0,-3,0,0,0,0,0,0
"AT3G21630",0,0,-3,0,0,0,0,0,0
"AT3G23200",0,0,-3,0,0,0,0,0,0
"AT3G26420",0,0,-3,0,0,0,0,0,0
"AT3G27560",0,0,3,0,0,0,0,0,0
"AT3G28030",0,0,-3,0,0,0,0,0,0
"AT3G44400",0,0,3,0,0,0,0,0,0
"AT3G44480",0,0,3,0,0,0,0,0,0
"AT3G44630",0,0,3,0,0,0,0,0,0
"AT3G44670",0,0,-3,0,0,0,0,0,0
"AT3G45040",0,0,3,0,0,0,0,0,0
"AT3G46385",0,0,3,0,0,0,0,0,0
"AT3G47090",0,0,-3,0,0,0,0,0,0
"AT3G47960",0,0,-3,0,0,0,0,0,0
"AT3G48760",0,0,-3,0,0,0,0,0,0
"AT3G49350",0,0,3,0,0,0,0,0,0
"AT3G49930",0,0,-3,0,0,0,0,0,0
"AT3G50360",0,0,-3,0,0,0,-3,0,0
"AT3G50830",0,0,-3,0,0,0,0,0,0
"AT3G51960",0,0,-3,0,0,0,0,0,0
"AT3G54020",0,0,3,0,0,0,0,0,0
"AT3G54030",0,0,3,0,0,0,0,0,0
"AT3G54100",0,0,3,0,0,0,0,0,0
"AT3G54200",0,0,-3,0,0,0,0,0,0
"AT3G54620",0,0,3,0,0,0,0,0,0
"AT3G55050",0,0,3,0,0,0,0,0,0
"AT3G56800",0,0,-3,0,0,0,0,0,0
"AT3G57280",0,0,-3,0,0,0,0,0,0
"AT3G57530",0,0,-3,0,0,0,0,0,0
"AT3G57640",0,0,-3,0,0,0,0,0,0
"AT3G57730",0,0,-3,0,0,0,0,0,0
"AT3G58490",0,0,3,0,0,0,0,0,0
"AT3G58600",0,0,-3,0,0,0,0,0,0
"AT3G58730",0,0,-3,0,0,0,0,0,0
"AT3G58760",0,0,-3,0,0,0,0,0,0
"AT3G59060",0,0,3,0,0,0,0,0,0
"AT3G60290",0,0,-3,0,0,0,0,0,0
"AT3G60940",0,0,-3,0,0,0,0,0,0
"AT3G61800",0,0,-3,0,0,0,0,0,0
"AT3G62220",0,0,-3,0,0,0,0,0,0
"AT3G62370",0,0,-3,0,0,0,0,0,0
"AT3G63500",0,0,-3,0,0,0,0,0,0
"AT4G00570",0,0,-3,0,0,0,0,0,0
"AT4G00720",0,0,-3,0,0,0,0,0,0
"AT4G01010",0,0,-3,0,0,0,0,0,0
"AT4G01540",0,0,-3,0,0,0,0,0,0
"AT4G02195",0,0,3,0,0,0,0,0,0
"AT4G02340",0,0,-3,0,0,0,0,0,0
"AT4G04860",0,0,3,0,0,0,0,0,0
"AT4G05150",0,0,-3,0,0,0,0,0,0
"AT4G10730",0,0,-3,0,0,0,0,0,0
"AT4G10970",0,0,-3,0,0,0,0,0,0
"AT4G12040",0,0,-3,0,0,0,0,0,0
"AT4G12070",0,0,-3,0,0,0,0,0,0
"AT4G13350",0,0,-3,0,0,0,0,0,0
"AT4G14030",0,0,-3,0,0,0,0,0,0
"AT4G15260",0,0,-3,0,0,0,0,0,0
"AT4G15760",0,0,-3,0,0,0,0,0,0
"AT4G16940",0,0,3,0,0,0,0,0,0
"AT4G16960",0,0,3,0,0,0,0,0,0
"AT4G16990",0,0,-3,0,0,0,0,0,0
"AT4G17615",0,0,3,0,0,0,0,0,0
"AT4G18070",0,0,3,0,0,0,0,0,0
"AT4G18340",0,0,3,0,0,0,0,0,0
"AT4G19200",0,0,-3,0,0,0,0,0,0
"AT4G19520",0,0,-3,0,0,0,0,0,0
"AT4G19640",0,0,-3,0,0,0,0,0,0
"AT4G20830",0,0,-3,0,0,0,0,0,0
"AT4G20930",0,0,-3,0,0,0,0,0,0
"AT4G21560",0,0,3,0,0,0,0,0,0
"AT4G21570",0,0,-3,0,0,0,0,0,0
"AT4G21700",0,0,-3,0,0,0,0,0,0
"AT4G22820",0,0,-3,0,0,0,0,0,0
"AT4G23650",0,0,-3,0,0,0,0,0,0
"AT4G23850",0,0,-3,0,0,0,0,0,0
"AT4G25360",0,0,-3,0,-3,0,0,0,0
"AT4G25390",0,0,-3,0,0,0,0,0,0
"AT4G25690",0,0,-3,0,0,0,0,0,0
"AT4G26490",0,0,3,0,0,0,0,0,0
"AT4G27500",0,0,-3,0,0,0,0,0,0
"AT4G29160",0,0,-3,0,0,0,0,0,0
"AT4G29670",0,0,-3,3,-3,0,0,0,0
"AT4G29950",0,0,3,0,0,0,0,0,0
"AT4G30060",0,0,-3,0,0,0,0,0,0
"AT4G30210",0,0,3,0,0,0,0,0,0
"AT4G30260",0,0,3,0,0,0,0,0,0
"AT4G30550",0,0,-3,0,0,0,0,0,0
"AT4G30600",0,0,-3,0,0,0,0,0,0
"AT4G30910",0,0,3,0,0,0,0,0,0
"AT4G31550",0,0,3,0,0,0,0,0,0
"AT4G32040",0,0,-3,0,0,0,0,0,0
"AT4G32060",0,0,3,0,0,0,0,0,0
"AT4G32150",0,0,-3,0,0,0,-3,0,0
"AT4G32300",0,0,3,0,0,0,0,0,0
"AT4G33430",0,0,-3,0,0,0,0,0,0
"AT4G33910",0,0,-3,0,0,0,0,0,0
"AT4G34460",0,0,-3,0,0,0,0,0,0
"AT4G34480",0,0,-3,0,0,0,0,0,0
"AT4G35780",0,0,3,0,0,0,0,0,0
"AT4G35985",0,0,3,0,0,0,0,0,0
"AT4G36000",0,0,-3,0,0,0,0,0,0
"AT4G39350",0,0,-3,0,0,0,0,0,0
"AT4G39400",0,0,3,0,0,0,0,0,0
"AT4G39403",0,0,-3,0,0,0,0,0,0
"AT4G39770",0,0,3,0,0,0,0,0,0
"AT5G01390",0,0,3,0,0,0,0,0,0
"AT5G01620",0,0,3,0,0,0,0,0,0
"AT5G01950",0,0,-3,0,0,0,0,0,0
"AT5G03050",0,0,-3,0,0,0,0,0,0
"AT5G04230",0,0,3,0,0,0,0,0,0
"AT5G05190",0,0,-3,0,0,0,0,0,0
"AT5G05380",0,0,-3,0,0,0,0,0,0
"AT5G06780",0,0,3,0,0,0,0,0,0
"AT5G06860",0,0,-3,0,0,0,0,0,0
"AT5G08660",0,0,3,0,0,0,0,0,0
"AT5G11680",0,0,-3,0,0,0,0,0,0
"AT5G15845",0,0,3,0,0,0,0,0,0
"AT5G15870",0,0,-3,0,0,0,0,0,0
"AT5G15930",0,0,3,0,0,0,0,0,0
"AT5G16370",0,0,-3,0,0,0,0,0,0
"AT5G16730",0,0,-3,0,0,0,0,0,0
"AT5G17060",0,0,-3,0,0,0,0,0,0
"AT5G18360",0,0,-3,0,0,0,0,0,0
"AT5G21482",0,0,-3,0,0,0,0,0,0
"AT5G22450",0,0,3,0,0,0,0,0,0
"AT5G22690",0,0,-3,0,0,0,0,0,0
"AT5G23870",0,0,-3,0,0,0,0,0,0
"AT5G24430",0,0,3,0,0,0,0,0,0
"AT5G25280",0,0,-3,0,0,0,-3,0,0
"AT5G25440",0,0,-3,0,0,0,0,0,0
"AT5G27930",0,0,3,0,0,0,0,0,0
"AT5G38210",0,0,3,0,0,0,0,0,0
"AT5G38280",0,0,3,0,0,0,0,0,0
"AT5G39590",0,0,3,0,0,0,0,0,0
"AT5G39785",0,0,-3,0,0,0,0,0,0
"AT5G40910",0,0,3,0,0,0,0,0,0
"AT5G44070",0,0,3,0,0,0,0,0,0
"AT5G44820",0,0,-3,0,0,0,0,0,0
"AT5G45130",0,0,-3,0,0,0,0,0,0
"AT5G45250",0,0,-3,0,0,0,0,0,0
"AT5G45280",0,0,3,0,0,0,0,0,0
"AT5G45840",0,0,3,0,0,0,0,0,0
"AT5G46330",0,0,-3,0,0,0,0,0,0
"AT5G46470",0,0,3,0,0,0,0,0,0
"AT5G46520",0,0,-3,0,0,0,0,0,0
"AT5G47910",0,0,-3,0,0,0,0,0,0
"AT5G48385",0,0,3,0,0,0,0,0,0
"AT5G49015",0,0,-3,0,0,0,0,0,0
