"epidermal","mesophyll group 1","mesophyll group 2","mesophyll group 3","bundle sheath","vascular","companion","sieve","myrosinase"
"AT1G78630",0,0,-3,3,0,0,0,0,0
"AT1G80190",0,0,-3,3,0,0,0,0,0
"AT2G01830",0,0,3,3,0,0,0,0,0
"AT2G07690",0,0,3,3,0,0,0,0,0
"AT2G24020",0,0,-3,3,0,0,0,0,0
"AT2G25930",0,0,3,3,0,0,0,0,0
"AT2G26330",0,0,3,3,0,0,0,0,0
"AT2G26540",0,0,-3,3,0,0,0,0,0
"AT2G33800",0,0,-3,3,0,0,0,0,0
"AT2G38140",0,0,-3,3,0,0,0,-3,0
"AT2G43030",0,0,-3,3,0,0,0,0,0
"AT2G43560",0,0,-3,3,0,0,0,0,0
"AT2G47750",0,0,3,0,0,0,0,0,0
"AT2G48070",0,0,-3,3,0,0,0,0,0
"AT3G02520",0,0,3,0,0,0,0,0,0
"AT3G04260",0,0,3,3,0,0,0,0,0
"AT3G04630",0,0,3,0,0,0,0,0,0
"AT3G06035",0,0,-3,3,0,0,0,0,0
"AT3G11210",0,0,3,3,0,0,0,0,0
"AT3G15190",0,0,-3,3,0,0,0,0,0
"AT3G16000",0,0,3,-3,0,0,0,0,0
"AT3G18090",0,0,3,0,0,0,0,0,0
"AT3G18390",0,0,3,-3,0,0,0,0,0
"AT3G18730",0,0,3,0,0,0,0,0,0
"AT3G20230",0,0,-3,3,0,0,0,0,0
"AT3G23840",0,0,3,3,0,0,0,0,0
"AT3G24590",0,0,-3,3,0,0,0,0,0
"AT3G27160",0,0,-3,3,0,0,0,0,0
"AT3G29185",0,0,-3,0,0,0,0,0,0
"AT3G49140",0,0,3,3,0,0,0,0,0
"AT3G51270",0,0,3,-3,0,0,0,0,0
"AT3G54750",0,0,3,3,0,0,0,-3,0
"AT3G58140",0,0,-3,3,0,0,0,0,0
"AT3G60370",0,0,-3,3,0,0,0,0,0
"AT3G60880",0,0,3,3,0,0,0,0,0
"AT3G62000",0,0,3,0,0,0,0,0,0
"AT3G63190",0,0,-3,3,0,0,0,0,0
"AT4G03935",0,0,-3,3,0,0,0,0,0
"AT4G05520",0,0,3,3,0,0,0,0,0
