Gene	induced	time 
AT1G49210	FALSE	day
AT1G49230	TRUE	day
AT1G49430	TRUE	day
AT1G49470	TRUE	none
AT1G49480	FALSE	day
AT1G49500	FALSE	day
AT1G49740	TRUE	none
AT1G49750	TRUE	day
AT1G49780	TRUE	day
AT1G49850	FALSE	none
AT1G50000	TRUE	none
AT1G50020	TRUE	none
AT1G50040	FALSE	day
AT1G50250	TRUE	day
AT1G50460	FALSE	day
AT1G50640	TRUE	day
AT1G51060	TRUE	day
AT1G51070	TRUE	none
AT1G51090	TRUE	day
AT1G51100	TRUE	day
AT1G51110	TRUE	none
AT1G51140	TRUE	none
AT1G51160	FALSE	day
AT1G51340	TRUE	day
AT1G51350	TRUE	none
AT1G51440	TRUE	day
AT1G51500	TRUE	day
AT1G51540;AT1G51550	FALSE	none
AT1G51660	TRUE	day
AT1G51680	TRUE	day
AT1G51700	TRUE	day
AT1G51740	FALSE	none
AT1G51805	TRUE	day
AT1G51940	FALSE	none
AT1G51950	FALSE	none
AT1G52080	TRUE	none
AT1G52200	FALSE	none
AT1G52230	TRUE	none
AT1G52260	FALSE	none
AT1G52280	TRUE	day
AT1G52290	TRUE	day
AT1G52740	FALSE	none
AT1G52770	TRUE	day
AT1G52880	TRUE	day
AT1G52890	TRUE	none
AT1G53000	FALSE	day
AT1G53030	FALSE	none
AT1G53035	TRUE	day
AT1G53070	TRUE	none
AT1G53090	TRUE	day
AT1G53140	FALSE	day
AT1G53160	FALSE	none
AT1G53165	FALSE	day
AT1G53180	FALSE	day
AT1G53230	TRUE	day
AT1G53240	TRUE	day
AT1G53300	TRUE	day
AT1G53310	TRUE	day
AT1G53400	FALSE	day
AT1G53500	TRUE	day
AT1G53510	TRUE	day
AT1G53560	FALSE	none
AT1G53580	FALSE	day
AT1G53650	TRUE	day
AT1G53680	TRUE	day
AT1G53700	TRUE	day
AT1G53885	FALSE	none
AT1G53920	TRUE	day
AT1G54050	TRUE	none
AT1G54080	TRUE	day
AT1G54200	TRUE	day
AT1G54220	TRUE	none
AT1G54270	TRUE	none
AT1G54350	TRUE	day
AT1G54570	TRUE	none
AT1G54590;AT1G03140	FALSE	day
AT1G54680	FALSE	none
AT1G54740	FALSE	day
AT1G55000	FALSE	none
AT1G55210	TRUE	day
AT1G55255	FALSE	day
AT1G55260	TRUE	day
AT1G55265;AT1G55270	TRUE	none
AT1G55300	FALSE	day
AT1G55480	TRUE	day
AT1G55510	FALSE	day
AT1G55530	FALSE	day
AT1G55805	FALSE	day
AT1G55810	FALSE	none
AT1G55870	TRUE	day
AT1G55880	FALSE	none
AT1G55910	TRUE	day
AT1G55920	TRUE	none
AT1G55960	TRUE	none
AT1G56050	TRUE	none
AT1G56090	FALSE	none
AT1G56110	TRUE	day
AT1G56150	FALSE	night
AT1G56170	TRUE	none
AT1G56210	FALSE	day
AT1G56220	FALSE	none
AT1G56330	TRUE	day
AT1G56430	TRUE	none
AT1G56500	TRUE	none
AT1G56510	TRUE	day
AT1G56580	TRUE	day
AT1G56650	TRUE	day
AT1G56670	TRUE	day
AT1G56700	FALSE	day
AT1G56720	FALSE	none
AT1G57590	TRUE	day
AT1G57680	FALSE	none
AT1G57770	TRUE	none
AT1G57820	FALSE	day
AT1G57990;AT1G57980	FALSE	none
AT1G58030	FALSE	none
AT1G58170	TRUE	none
AT1G58180	FALSE	day
AT1G58200	FALSE	none
AT1G58290	TRUE	day
AT1G58807;AT1G59124	TRUE	day
AT1G59580	FALSE	none
AT1G59590	FALSE	day
AT1G59720	TRUE	day
AT1G59740	TRUE	none
AT1G59860;AT1G07400	TRUE	none
AT1G59970	TRUE	day
AT1G60000	TRUE	day
AT1G60010	FALSE	none
AT1G60140	FALSE	none
AT1G60190	TRUE	none
AT1G60270	TRUE	day
AT1G60550	TRUE	day
AT1G60590	TRUE	none
AT1G60800	TRUE	none
AT1G60870	FALSE	none
AT1G60890	TRUE	day
AT1G61040	FALSE	none
AT1G61100	FALSE	none
AT1G61150;AT1G61160	FALSE	day
AT1G61170	FALSE	night
AT1G61190;AT1G61180;AT1G61300;AT1G61310	TRUE	day
AT1G61380	TRUE	day
AT1G61580	TRUE	none
AT1G61800	TRUE	day
AT1G61820	FALSE	day
AT1G61890	TRUE	day
AT1G62040	FALSE	none
AT1G62050	TRUE	day
AT1G62180	TRUE	day
AT1G62250	TRUE	day
AT1G62420	FALSE	none
AT1G62540	TRUE	none
AT1G62560	TRUE	none
AT1G62570	TRUE	day
AT1G62640	TRUE	day
AT1G62760	FALSE	day
AT1G62770	FALSE	day
AT1G62800	TRUE	none
AT1G63050	TRUE	day
AT1G63160	FALSE	day
AT1G63180	FALSE	day
AT1G63260	FALSE	none
AT1G63380;AT1G62610	TRUE	day
AT1G63670	TRUE	day
AT1G63800	FALSE	day
AT1G63850	TRUE	day
AT1G64060	TRUE	day
AT1G64380	TRUE	day
AT1G64390	TRUE	day
AT1G64660	FALSE	day
AT1G64670	TRUE	day
AT1G64680	TRUE	none
AT1G64720	FALSE	none
AT1G64770	TRUE	day
AT1G64780	TRUE	day
AT1G64890	TRUE	day
AT1G64900	TRUE	day
AT1G64970	TRUE	none
AT1G64980	TRUE	day
AT1G65060	TRUE	day
AT1G65230	TRUE	day
AT1G65295	TRUE	day
AT1G65490	TRUE	day
AT1G65520	TRUE	none
AT1G65560	TRUE	night
AT1G65800;AT1G65790	TRUE	day
AT1G65840	TRUE	day
AT1G65870	TRUE	day
AT1G65900	TRUE	none
AT1G66070	TRUE	none
AT1G66080	TRUE	none
AT1G66150	FALSE	none
AT1G66250	TRUE	day
AT1G66350	TRUE	day
AT1G66540	TRUE	day
AT1G66680	FALSE	none
AT1G66820	TRUE	day
AT1G66830	TRUE	day
AT1G66840	TRUE	none
AT1G66880	TRUE	day
AT1G66890	FALSE	day
AT1G66940	FALSE	none
AT1G67070	TRUE	night
AT1G67310	FALSE	day
AT1G67360	TRUE	none
AT1G67400;AT3G43400	FALSE	none
AT1G67480	FALSE	day
AT1G67750	TRUE	none
AT1G67800	TRUE	day
AT1G67830	FALSE	none
AT1G67840	TRUE	day
AT1G67850	TRUE	day
AT1G67880	TRUE	none
AT1G67910	FALSE	day
AT1G67980	FALSE	day
AT1G68000	FALSE	none
AT1G68020	FALSE	none
AT1G68110	FALSE	none
AT1G68140	FALSE	none
AT1G68190	FALSE	day
AT1G68340	TRUE	day
AT1G68520	FALSE	none
AT1G68530	TRUE	day
AT1G68570	TRUE	day
AT1G68620	TRUE	night
AT1G68650	TRUE	day
AT1G68670	FALSE	none
AT1G68740	TRUE	day
AT1G68780	TRUE	none
AT1G68840	FALSE	night
AT1G69010	FALSE	day
AT1G69040	FALSE	night
AT1G69220	FALSE	none
AT1G69260	TRUE	none
AT1G69270	FALSE	none
AT1G69295	TRUE	day
AT1G69310	TRUE	none
AT1G69330	TRUE	day
AT1G69360	FALSE	night
AT1G69480	TRUE	day
AT1G69490	FALSE	day
AT1G69523	TRUE	day
AT1G69526	TRUE	none
AT1G69530	TRUE	day
AT1G69610	TRUE	day
AT1G69640	TRUE	none
AT1G69680	TRUE	day
AT1G69730;AT1G69720	TRUE	day
AT1G69760	TRUE	day
AT1G69870	TRUE	day
AT1G69890	FALSE	day
AT1G70000	TRUE	day
AT1G70070	FALSE	day
AT1G70090	FALSE	none
AT1G70100	FALSE	day
AT1G70230	TRUE	day
AT1G70250	TRUE	day
AT1G70280	FALSE	day
AT1G70290	FALSE	day
AT1G70360	FALSE	day
AT1G70370	TRUE	day
AT1G70520	FALSE	none
AT1G70530	FALSE	none
AT1G70550	TRUE	day
AT1G70580	TRUE	none
AT1G70590	FALSE	none
AT1G70610	TRUE	none
AT1G70660	FALSE	day
AT1G70670;AT1G70680	FALSE	day
AT1G70700	TRUE	day
AT1G70730	TRUE	none
AT1G70780	TRUE	day
AT1G70810	TRUE	none
AT1G70820	TRUE	day
AT1G70900	TRUE	day
AT1G70985	TRUE	day
AT1G71020	FALSE	none
AT1G71030	FALSE	none
AT1G71040	TRUE	day
AT1G71080	FALSE	none
AT1G71250	TRUE	night
AT1G71410	FALSE	none
AT1G71480	TRUE	day
AT1G71710	TRUE	day
AT1G71780	TRUE	none
AT1G71790	FALSE	night
AT1G71810	TRUE	day
AT1G71840	TRUE	none
AT1G71850	TRUE	day
AT1G71860	FALSE	none
AT1G71880	TRUE	day
AT1G71970	FALSE	none
AT1G71990	FALSE	day
AT1G72030	TRUE	none
AT1G72070	FALSE	none
AT1G72070;AT1G72060	FALSE	none
AT1G72150	FALSE	none
AT1G72230	TRUE	day
AT1G72300	TRUE	none
AT1G72410	FALSE	none
AT1G72500	TRUE	none
AT1G72610	TRUE	day
AT1G72650	FALSE	none
AT1G72770	TRUE	none
AT1G72800	TRUE	none
AT1G72820	FALSE	day
AT1G72890	TRUE	day
AT1G72910;AT1G72930	TRUE	day
AT1G72940	TRUE	day
AT1G72970	TRUE	none
AT1G73010	TRUE	day
AT1G73080	TRUE	day
AT1G73170	TRUE	day
AT1G73260	TRUE	night
AT1G73370	TRUE	night
AT1G73380	FALSE	none
AT1G73390	TRUE	day
AT1G73440	FALSE	day
AT1G73480	TRUE	none
AT1G73500	FALSE	none
AT1G73600	TRUE	none
AT1G73630	TRUE	day
AT1G73650	TRUE	day
AT1G73655	FALSE	day
